RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
1112000.0,1206000.0,924000.0,4240000.0,1118000.0,392500.0,1119000.0,2177000.0,2180000.0,2.3999999999999997E8,
1112000.0,1206000.0,924400.0,4240000.0,1123000.0,387700.0,1125000.0,2194000.0,2157000.0,2.3999999999999997E8,
1111000.0,1206000.0,925400.0,4240000.0,1123000.0,387700.0,1134000.0,2244000.0,2098000.0,2.3999999999999997E8,
1110000.0,1205000.0,927100.0,4240000.0,1123000.0,395100.0,1127000.0,2325000.0,2017000.0,2.3999999999999997E8,
1109000.0,1205000.0,928300.0,4240000.0,1129000.0,389000.0,1144000.0,2359000.0,1965000.0,2.3999999999999997E8,
1108000.0,1202000.0,932500.0,4240000.0,1115000.0,393200.0,1136000.0,2359000.0,1965000.0,2.3999999999999997E8,
1108000.0,1201000.0,933600.0,4240000.0,1115000.0,399600.0,1147000.0,2359000.0,2149000.0,2.3999999999999997E8,
1103000.0,1206000.0,934100.0,4240000.0,1115000.0,399600.0,1147000.0,2403000.0,2105000.0,2.3999999999999997E8,
1098000.0,1208000.0,935700.0,4240000.0,1118000.0,401400.0,1142000.0,2519000.0,1988000.0,2.3999999999999997E8,
1098000.0,1207000.0,937100.0,4240000.0,1124000.0,395500.0,1142000.0,2595000.0,1894000.0,2.3999999999999997E8,
1097000.0,1205000.0,939900.0,4240000.0,1130000.0,389500.0,1142000.0,2606000.0,1980000.0,2.3999999999999997E8,
1097000.0,1205000.0,940800.0,4240000.0,1130000.0,401400.0,1130000.0,2606000.0,1980000.0,2.3999999999999997E8,
1097000.0,1202000.0,943200.0,4240000.0,1130000.0,406300.0,1125000.0,2606000.0,2003000.0,2.3999999999999997E8,
1097000.0,1200000.0,945500.0,4240000.0,1248000.0,293000.0,1131000.0,2678000.0,1901000.0,2.3999999999999997E8,
1093000.0,1200000.0,949400.0,4240000.0,1248000.0,297800.0,1133000.0,2690000.0,1960000.0,2.3999999999999997E8,
1090000.0,1203000.0,949300.0,4231000.0,1253000.0,790500.0,635000.0,2701000.0,1937000.0,2.3999999999999997E8,
1087000.0,1202000.0,952400.0,4231000.0,1257000.0,792700.0,628900.0,2759000.0,2071000.0,2.3999999999999997E8,
1066000.0,1201000.0,953900.0,4252000.0,1257000.0,798700.0,628900.0,2752000.0,2051000.0,2.3999999999999997E8,
1066000.0,1199000.0,955600.0,4252000.0,1244000.0,808600.0,619000.0,2800000.0,2096000.0,2.3999999999999997E8,
1063000.0,1202000.0,955900.0,4252000.0,1244000.0,808600.0,619000.0,2852000.0,2044000.0,2.3999999999999997E8,
1062000.0,1203000.0,956400.0,4252000.0,1244000.0,826000.0,601700.0,2868000.0,2028000.0,2.3999999999999997E8,
1060000.0,1204000.0,956900.0,4252000.0,1250000.0,820300.0,609700.0,2860000.0,2091000.0,2.3999999999999997E8,
1056000.0,1206000.0,959000.0,4252000.0,1255000.0,820000.0,604900.0,2926000.0,2024000.0,2.3999999999999997E8,
1054000.0,1207000.0,960000.0,4247000.0,1255000.0,824800.0,600000.0,2967000.0,1984000.0,2.3999999999999997E8,
1054000.0,1206000.0,960700.0,4247000.0,1261000.0,828800.0,590400.0,3010000.0,1940000.0,2.3999999999999997E8,
1052000.0,1207000.0,961600.0,4233000.0,1260000.0,843500.0,575500.0,3031000.0,1919000.0,2.3999999999999997E8,
